CVE_VEND,FECHAELAB
1.0,2020-04-28 10:32:48.000
1.0,2020-04-28 11:04:15.000
1.0,2020-05-20 10:59:09.000
1.0,2020-05-29 14:48:44.000
1.0,2020-06-05 09:08:10.000
1.0,2020-06-05 11:15:56.000
1.0,2020-06-16 10:32:35.000
1.0,2020-06-30 13:46:57.000
1.0,2020-06-30 15:28:29.000
1.0,2020-07-10 12:21:37.000
1.0,2020-07-14 14:02:46.000
1.0,2020-07-15 10:44:43.000
1.0,2020-07-16 12:59:22.000
1.0,2020-07-17 13:57:15.000
1.0,2020-07-20 09:55:34.000
1.0,2020-07-31 14:57:30.000
1.0,2020-08-06 12:56:53.950
1.0,2020-08-14 13:53:58.560
1.0,2020-09-22 11:48:29.650
1.0,2020-10-22 12:38:10.430
1.0,2020-10-30 16:28:49.617
1.0,2020-11-04 16:00:52.437
1.0,2020-11-12 16:58:02.660
1.0,2020-11-12 16:59:44.577
1.0,2020-11-30 16:30:08.070
1.0,2020-12-08 16:36:15.723
1.0,2020-12-14 12:04:42.000
1.0,2021-01-05 16:07:33.477
1.0,2021-01-06 14:02:10.497
1.0,2021-01-27 16:23:56.730
1.0,2021-03-16 15:02:25.950
1.0,2021-03-26 12:53:29.327
1.0,2021-03-26 15:56:49.817
1.0,2021-04-09 12:08:14.303
1.0,2021-04-15 08:43:07.227
1.0,2021-04-15 12:23:48.480
1.0,2021-04-15 17:20:51.067
1.0,2021-04-19 14:25:14.470
1.0,2021-04-21 14:41:12.397
1.0,2021-04-23 08:42:49.680
1.0,2021-04-23 09:33:18.527
1.0,2021-04-23 13:21:08.753
1.0,2021-04-23 17:07:43.570
1.0,2021-04-27 10:00:11.403
1.0,2021-04-27 15:11:54.060
1.0,2021-04-29 09:56:04.120
1.0,2021-05-06 16:15:22.837
1.0,2021-05-06 16:18:19.537
1.0,2021-05-11 14:52:14.817
1.0,2021-05-12 16:37:54.847
1.0,2021-05-13 08:27:15.533
1.0,2021-05-13 14:08:35.903
1.0,2021-05-13 14:11:53.023
1.0,2021-05-13 16:07:22.590
1.0,2021-05-17 11:13:22.107
1.0,2021-05-21 14:15:10.743
1.0,2021-05-24 12:18:45.910
1.0,2021-05-24 12:31:15.527
1.0,2021-05-24 12:37:20.320
1.0,2021-05-24 13:04:26.600
1.0,2021-05-28 14:30:33.773
1.0,2021-05-28 15:14:23.203
1.0,2021-05-28 16:09:40.040
1.0,2021-06-02 10:06:56.740
1.0,2021-06-03 13:34:56.983
1.0,2021-06-03 13:41:01.937
1.0,2021-06-04 16:18:29.017
1.0,2021-06-09 16:32:15.957
1.0,2021-06-11 09:35:33.767
1.0,2021-06-11 09:42:30.687
1.0,2021-06-11 09:50:03.483
1.0,2021-06-11 09:53:20.153
1.0,2021-06-11 10:14:12.203
1.0,2021-06-11 10:38:48.827
1.0,2021-06-15 16:34:07.830
1.0,2021-06-17 13:14:02.947
1.0,2021-06-17 13:32:26.667
1.0,2021-06-17 13:45:46.193
1.0,2021-06-18 15:19:13.797
1.0,2021-06-22 16:41:41.913
1.0,2021-06-22 16:49:27.753
1.0,2021-06-23 11:12:57.003
1.0,2021-06-23 14:04:39.340
1.0,2021-06-23 15:22:48.470
1.0,2021-06-23 15:24:51.470
1.0,2021-06-23 15:43:02.677
1.0,2021-06-23 15:45:17.593
1.0,2021-06-25 13:47:23.393
1.0,2021-06-29 13:39:09.720
1.0,2021-06-30 12:32:16.623
1.0,2021-07-01 15:48:39.217
1.0,2021-07-01 15:58:25.673
1.0,2021-07-01 16:10:02.303
1.0,2021-07-05 16:10:38.597
1.0,2021-07-05 16:50:13.990
1.0,2021-07-06 12:34:57.663
1.0,2021-07-08 17:05:43.647
1.0,2021-07-09 11:04:01.580
1.0,2021-07-09 12:00:50.960
1.0,2021-07-09 12:29:19.093
1.0,2021-07-09 12:39:52.263
1.0,2021-07-09 12:47:05.837
1.0,2021-07-09 12:49:34.627
1.0,2021-07-09 12:55:46.513
1.0,2021-07-15 11:15:53.300
1.0,2021-07-20 13:18:18.143
1.0,2021-07-20 13:30:54.247
1.0,2021-07-20 13:44:04.687
1.0,2021-07-20 13:50:42.390
1.0,2021-07-22 13:13:36.867
1.0,2021-07-22 13:17:12.400
1.0,2021-07-22 15:15:46.150
1.0,2021-07-23 16:07:28.760
1.0,2021-07-23 16:12:15.783
1.0,2021-07-23 16:28:32.227
1.0,2021-07-27 07:43:08.660
1.0,2021-07-27 09:15:55.877
1.0,2021-07-28 15:18:14.697
1.0,2021-07-29 08:10:40.180
1.0,2021-07-30 12:15:10.250
1.0,2021-07-30 17:09:13.120
1.0,2021-08-05 09:10:43.460
1.0,2021-08-06 08:02:41.777
1.0,2021-08-09 08:28:08.853
1.0,2021-08-10 09:43:18.737
1.0,2021-08-11 10:52:10.087
1.0,2021-08-11 14:06:54.747
1.0,2021-08-12 10:06:54.093
1.0,2021-08-17 12:19:25.357
1.0,2021-08-18 12:38:43.287
1.0,2021-08-20 09:05:40.500
1.0,2021-08-26 15:00:13.603
1.0,2021-08-30 13:02:41.660
1.0,2021-08-31 09:39:42.553
1.0,2021-08-31 14:55:58.217
1.0,2021-08-31 18:13:04.387
1.0,2021-09-03 18:16:42.103
1.0,2021-09-07 17:42:58.513
1.0,2021-09-08 10:09:26.050
1.0,2021-09-08 14:46:31.740
1.0,2021-09-08 14:55:07.673
1.0,2021-09-09 16:02:56.803
1.0,2021-09-09 16:21:48.697
1.0,2021-09-09 16:24:07.403
1.0,2021-09-09 16:26:46.817
1.0,2021-09-17 09:42:25.063
1.0,2021-09-17 09:51:50.767
1.0,2021-09-17 09:53:52.200
1.0,2021-09-21 11:37:29.763
1.0,2021-09-22 11:06:39.983
1.0,2021-09-23 15:39:25.507
1.0,2021-09-23 15:41:29.207
1.0,2021-09-24 10:37:18.663
1.0,2021-09-27 08:56:13.760
1.0,2021-09-28 10:19:35.663
1.0,2021-09-29 10:49:26.757
1.0,2021-09-29 14:49:36.190
1.0,2021-09-29 16:59:21.743
1.0,2021-09-30 18:38:15.180
1.0,2021-10-04 10:24:36.350
1.0,2021-10-04 15:38:54.260
1.0,2021-10-07 15:35:44.253
1.0,2021-10-08 09:26:20.957
1.0,2021-10-12 10:16:48.773
